Complexity,Loss,Equation
1,16956.395,"219.63554"
3,5275.2383,"x16 * 355.067"
4,847.4875,"square(x10 + -24.425756)"
6,474.22397,"square(x10 + -26.278446) + 54.013084"
8,343.05392,"square(x14 - (x10 + -26.298634)) + 57.274826"
10,282.02075,"square(x10 + ((x3 - x14) + -26.316898)) + 55.536804"
12,175.06242,"square(((x10 - x14) + -25.67554) - (x15 * 23.998842)) + 65.60684"
13,175.06241,"abs(square((x10 + -25.675234) - (x14 + (x15 * 24.022768))) + 65.62964)"
14,160.34874,"square(x20 + (((x10 - x14) - (x15 * 23.327805)) + -25.803076)) + 69.5395"
16,136.59155,"square(((x15 * 27.561579) - ((x20 - x14) / x0)) - (x10 + -25.829418)) + 74.35363"
18,111.301765,"square((x15 * 31.99414) + ((x4 - (x10 + -25.581709)) - ((x20 - x14) / x0))) + 74.53642"
20,109.80934,"(x10 + 45.81966) + square((x15 * 32.60929) + ((x4 - (x10 + -26.007349)) - ((x20 - x14) / x0)))"
