Complexity,Loss,Equation
1,27190.719,"222.26921"
3,4214.461,"x16 * 413.454"
4,513.3148,"square(23.874056 - x10)"
6,187.47548,"square((x10 + -21.357233) * 0.87904084)"
7,187.47542,"abs(square((x10 + -21.357056) * 0.87903357))"
8,147.9117,"square((x3 + (x10 - 22.38948)) * 0.9109814)"
10,129.50154,"(square(x10 + x3) * (x10 * 0.005883213)) + -110.833824"
11,117.96447,"square(((x10 - 22.1357) + square(x3 + x20)) * 0.900031)"
12,114.81973,"square(((x10 + square(square(x3 + x20))) - 21.92725) * 0.891261)"
13,107.126,"square(((x10 - 21.981258) + square(x20 + (x20 + x3))) * 0.8922521)"
14,98.22787,"((x20 + (square(x10) * 0.005855394)) * ((x10 - x4) + x3)) + -102.03888"
16,94.86921,"(((x3 + (x10 - x4)) * 0.0058734813) * square(x20 + (x10 + x20))) + -103.59056"
17,92.52814,"(((x10 - x4) + square(x20 + x3)) * (x20 + (square(x10) * 0.005855394))) + -102.03888"
18,88.85449,"(((x3 + x10) - square(square(x20 + x4))) * ((square(x10) * 0.0058647003) + x20)) + -102.109116"
20,83.06684,"(((x10 + x3) - square(square((x20 + x4) + x20))) * (x20 + (square(x10) * 0.0058747786))) + -101.973404"
