Complexity,Loss,Equation
1,20726.58,"164.33861"
3,3768.8777,"x16 * 357.31876"
4,653.5881,"square(24.199335 - x10)"
6,321.89465,"square((x10 - 21.573812) * 0.8645)"
8,192.62733,"square(21.044285 - x10) * (0.77221835 - x11)"
9,192.62717,"square((21.044285 - x10) * sqrt(0.77221835 - x11))"
10,164.90256,"-21.911966 + (square(18.80865 - x10) * (0.6855177 - x11))"
11,164.0832,"abs((square(18.80865 - x10) * (0.6855177 - x11)) + -21.911966)"
12,139.77948,"square((x15 - 0.9099039) * (((x12 * 7.443072) - -21.68593) - x10))"
13,139.77934,"abs(square((((x12 * 7.4426594) - -21.685612) - x10) * (x15 - 0.9098899)))"
14,122.39052,"square(((((x12 * 8.851744) - -21.427914) - x10) * (0.901916 - x15)) - x20)"
15,122.3905,"abs(square(((((x12 * 8.851112) - -21.428051) - x10) * (0.90191966 - x15)) - x20))"
16,102.70113,"square(((((x12 * 8.915386) - x10) - -19.402517) * (0.8506322 - x15)) - x20) - 19.985489"
17,101.517746,"abs(square(((((x12 * 8.9798355) - -19.24081) - x10) * (0.8471937 - x15)) - x20) - 21.813272)"
18,99.286064,"square((((((x12 * 9.745107) - x20) - x20) - x10) - -19.098715) * (x15 - 0.8430564)) - 21.352777"
19,98.19341,"abs(23.117968 - square((((((x12 * 9.808243) - -18.944605) - x10) - x20) - x20) * (x15 - 0.839885)))"
