Complexity,Loss,Equation
1,18529.5,"225.15668"
3,5457.2466,"x16 * 366.30057"
4,572.2827,"square(x10 + -24.160254)"
6,364.62607,"square((x10 + -22.196493) * 0.89750946)"
7,364.62598,"square(abs((x10 + -22.196493) * 0.89752746))"
8,225.6337,"square(x10 + -21.590008) * (0.8208527 - x11)"
10,185.05212,"square(x20 + ((x10 + -21.163412) * (0.89230245 - x15)))"
11,185.0521,"abs(square(x20 + ((0.89230084 - x15) * (x10 + -21.163326))))"
12,157.25441,"square(x20 + ((0.89230084 - x15) * ((x10 - x5) + -21.163326)))"
14,136.96696,"square(x20 + (((x15 * -23.55629) + ((x10 - x5) + -20.176802)) * 0.8549751))"
16,124.19905,"square((x20 - ((((x15 * -22.559885) + (x10 + -19.774054)) - x5) * -0.83946)) + x20)"
18,116.53515,"square(((x20 + x18) + x20) - ((((x15 * -21.455065) + (x10 + -19.553974)) - x5) * -0.8294389))"
20,113.448814,"square(x20 + (((x20 + x18) * x16) - ((((x10 + (x15 * -22.15412)) - x5) + -19.854921) * -0.840863)))"
