Complexity,Loss,Equation
1,8556.716,"-277.76184"
3,8528.664,"-277.53958 - x5"
4,5730.989,"cos(x9) * -388.0985"
5,5589.727,"-207.37965 / max(0.5814312, x9)"
6,5084.862,"max(x6, cos(x9)) * -380.79065"
7,4653.434,"-201.62071 / max(0.48788133, max(x1, x12))"
9,4469.1665,"-199.16106 / min(max(max(x12, 0.48475248), x1), 0.9019644)"
10,4320.8936,"-200.74474 / max(x1, max(0.49382308, sqrt(x15 * x12)))"
11,4285.9844,"-191.79845 / min(max(0.4632976, max(x12, x3)), max(x13, 0.6830447))"
12,4107.101,"-188.76695 / max(x3, max(min(x12, sin(x17 * 2.173059)), 0.46165845))"
13,3967.1577,"-197.10056 / max(max(0.48546967, x1), min(x12 * (x17 * 1.7140372), x15))"
14,3914.1082,"-197.10056 / max(min(sin(x12 * (x17 * 2.0256178)), x15), max(x1, 0.48546967))"
15,3701.9775,"-196.84964 / max(max(x1, x12 * min(x17 * 1.8533767, x15 / x17)), 0.48760203)"
16,3644.8667,"-217.2447 / min(max(sin(x12 * x13) / x1, 0.7606466), max(0.5159871, x4) / x10)"
17,3553.0422,"-219.81857 / max((min(x17 / x10, max(x1, x13)) / x1) * max(x12, 0.56405985), x1)"
18,3442.1648,"-203.81284 / max(0.48837882, max(x12 * min(sqrt(max(x13 / x1, 0.57200235)), x17 * 1.9808643), x1))"
19,3201.1484,"-209.82382 / max(min(max(0.72070307, (x13 / x1) + -0.34870812), x17 * (x8 + (x12 / x1))), x1)"
21,3028.1638,"-219.44594 / min(max(max(0.5043115, x1), x12 * ((x17 / x10) / x1)), max((x13 / x3) + -0.3948077, 0.7614497))"
22,3000.3533,"-217.2447 / max(0.5159871, max(x1, min(max(0.7606466, (x13 / x1) + -0.33674783), ((x17 / x10) / x1) * sin(x12))))"
23,2980.9023,"-217.2447 / max(max(min((min(x17, x10) / x10) * (x12 / x1), max((x13 / x1) + -0.33674783, 0.7606466)), 0.5159871), x1)"
24,2972.36,"-217.2447 / max(x1, min(max(max((x13 / x1) + -0.33674783, 0.7606466), x13), max((sin(x12) / x1) * (x17 / x10), 0.5159871)))"
25,2948.7136,"-213.92764 / min(max(max(x1, 0.48753792), (x17 * (x12 / x1)) / max(x10, x17)), max(max(x13, 0.77308416), (x13 / x3) + -0.39181417))"
