Complexity,Loss,Equation
1,4987.746,"-158.57219"
3,4071.855,"x0 * -422.14233"
4,3921.9216,"sqrt(x0) * -268.19955"
5,3786.2102,"min(x0, 0.5363632) * -442.59998"
6,3651.9863,"max(sqrt(x0), x11) * -256.85336"
7,3596.2117,"(x10 + (x0 * 3.2924242)) * -87.78979"
8,3570.462,"(max(x10, sqrt(x0)) + x0) * -150.81375"
9,3514.2932,"((x8 + (x16 * x17)) * 97.76376) + -250.67133"
10,3366.129,"(sin((x16 * x17) + x8) * 168.03682) + -282.63885"
11,3352.374,"(sin((sqrt(x16) * x17) + x8) * 169.77994) + -290.6827"
12,3307.4155,"((sqrt((x17 * x16) + x8) + x1) * 126.2409) + -357.67807"
13,3269.1147,"(sin((x17 * x16) + (sqrt(x8) * x1)) * 170.27477) + -283.59042"
14,3258.0686,"(sin((x17 * sin(x16)) + (x1 * sqrt(x8))) * 175.18152) + -281.79"
15,3232.1616,"(sin(x8 + sin((x17 * x16) * (x17 + x19))) * 169.77994) + -290.1834"
16,3205.659,"(sin(x8 + (sqrt(x16) * sin((x19 + x4) * x17))) * 183.89725) + -305.6519"
18,3194.1917,"(sin((x16 + x8) * x17) * (x0 * 318.68225)) + (((x0 * 48.359703) + 17.672976) * -6.572108)"
19,3161.427,"(sin(x8 + sin((x15 + x17) * min((x19 + x17) * x17, x16))) * 185.51904) + -308.0297"
20,3154.9497,"(sin(sin(x8) + sin((x17 + x15) * min(x17 * (x19 + x17), x16))) * 185.51904) + -308.0297"
21,3153.635,"(sin(sin(x8) + sin((x17 + x15) * min(sin(x17) * (x19 + x17), x16))) * 185.51904) + -308.0297"
22,3138.2217,"(sin((sin(sin((x17 + square(x19)) * x17) * (x15 + x13)) * sqrt(x16)) + x8) * 169.77994) + -290.6827"
24,3137.6484,"x5 + ((sin((sin(sin((x17 + square(x19)) * x17) * (x15 + x13)) * sqrt(x16)) + x8) * 169.77994) + -290.6827)"
25,3135.677,"log(x3) + ((sin((sin(sin((x17 + square(x19)) * x17) * (x15 + x13)) * sqrt(x16)) + x8) * 169.77994) + -290.6827)"
