Complexity,Loss,Equation
1,33243.48,"166.99173"
3,24615.395,"101.27252 / x7"
5,19865.326,"(x12 * -451.34244) + 475.87885"
6,16815.229,"exp(sin(exp(x12)) / 0.17273967)"
7,15859.902,"(max(x3, x12) * -707.81085) + 693.69714"
8,12816.99,"exp(sin(exp(max(x12, x1))) / 0.16699207)"
10,11461.815,"exp((sin(exp(max(x12, x1))) / 0.1532561) - x7)"
11,11324.847,"exp((sin(exp(max(x12, x1))) / 0.14840285) - sqrt(x7))"
12,11027.481,"exp((sin(exp(max(x1, x12))) / 0.14957081) - max(x16, x7))"
14,10875.625,"exp((sin(exp(max(x1, x12))) / 0.15212047) - max(x7, x16 - x18))"
15,10864.448,"exp((sin(exp(max(x1, x12))) / 0.15212047) - max(x7, cos(x12) - x18))"
16,10744.632,"exp((sin(exp(max(x1, x12))) / 0.15177293) - max(x7, max(x8, x13 - x18)))"
17,10566.238,"(square(exp(exp(cos((x9 * x15) * x12))) + x6) / max(x1, x7)) + -58.82718"
19,10207.238,"((square(exp(exp(cos(x12 * (x13 + (0.20363796 - x1)))))) / max(x1, x7)) + -144.85194) * 1.47155"
20,9969.605,"(square(exp(exp(cos(x12 * ((x13 + 0.29573902) - x1)))) + exp(x10)) / max(x7, x1)) + -148.95949"
21,9856.277,"((square(x10 + exp(exp(cos((x13 + (0.22070998 - x1)) * x12)))) * 1.3573701) / max(x1, x7)) + -210.43295"
22,9532.859,"(square(exp(exp(cos(x12 * ((x13 + (x0 * x9)) - x1)))) + exp(x10)) / max(x7, x1)) + -151.93086"
24,9404.911,"((square(exp(x10) + exp(exp(cos((x13 + ((x9 * x0) - x3)) * x12)))) / max(x7, x1)) * 1.0678549) + -166.39758"
25,9396.3545,"((square(exp(x10) + exp(exp(cos((x13 + sin((x9 * x0) - x3)) * x12)))) * 1.0678549) / max(x7, x1)) + -166.39758"
