Complexity,Loss,Equation
1,1552.3296,"-198.14445"
3,1546.3488,"x16 + -198.85231"
4,1346.7821,"-183.38803 / cos(x0)"
5,1312.2932,"min(-187.5271, x12 * -224.24759)"
6,1222.5608,"max(cos(x12), x12) * -220.6145"
7,1156.9347,"cos(cos(x3 - x7)) * -347.37894"
8,1078.728,"min(cos(x1 / x7) * -274.4983, -185.30171)"
10,1054.5011,"(cos(cos(x12 + -0.49306563)) * -426.37665) * cos(x1)"
11,1049.5627,"(cos(x1) * abs(max(x12, cos(sqrt(x12))))) * -292.8784"
12,1002.8669,"(cos(cos(max(1.1060374 - x12, x12))) * -322.55414) * cos(x1)"
13,978.05536,"(cos(cos(max(x12, cos(x12 / x3)))) * cos(x1)) * -322.20453"
14,978.0405,"cos(cos(max(abs(cos(x12 / x3)), x12))) * (-322.20453 * cos(x1))"
15,974.55414,"cos(x1) * (cos(cos(max(cos(x12 / x3), max(x1, x12)))) * -321.1643)"
16,947.0712,"cos(cos(cos(x12 / (x1 * -0.7679329))) * cos(x12)) * (cos(x1) * -316.55435)"
18,939.9015,"(cos(max(x8, x1)) * -321.26108) * cos(cos(cos(x12 / (x3 * 0.8224853))) * cos(x12))"
20,920.5977,"cos(x1) * (cos(cos(cos((x12 / x1) + square(min(x12, cos(x16))))) * cos(x12)) * -316.55435)"
22,918.0312,"((cos(x1) * -314.93622) * cos(cos(cos((x12 / x1) + square(min(x12, cos(x16))))) * cos(x12))) - x5"
23,916.12305,"(cos(x1) * cos(cos(x12) * cos(cos((x12 / x1) + square(min(x12, exp(square(x3)) - x16)))))) * -314.93622"
25,912.44775,"(cos(x1) * (cos(cos(min(x12, cos(x8))) * cos(cos((x12 / x1) + square(min(x12, cos(x8)))))) * -314.93622)) - x10"
