Complexity,Loss,Equation
1,30134.494,"251.15068"
3,23387.371,"140.11093 / x7"
4,20363.062,"517.6641 / exp(x7)"
5,16805.389,"175.08524 / max(x12, x7)"
6,13624.875,"128.60725 / square(max(x1, x7))"
8,11780.949,"131.24815 / square(max(max(x12, 0.5024059), x1))"
9,11473.421,"128.04504 / square(max(x1, max(square(x0), x12)))"
10,10850.251,"(cos(x9 + x7) + max(x8, x10)) * 311.05057"
11,10251.949,"(cos(x7 + x9) + (x6 + cos(x13))) * 211.14809"
12,9904.037,"(cos(x17 + x9) + (cos(x12) + square(x6))) * 232.71527"
13,9724.696,"(cos(square(x13)) + (cos(x9 + x7) + square(x6))) * 225.17308"
14,9169.796,"(cos(x9 + x17) + (cos(x13) + x6)) * (cos(x12) * 258.2762)"
16,8852.474,"(cos(x17 + max(x1, x13)) + ((x6 + cos(x12)) * cos(x16))) * 270.76587"
17,8504.959,"261.35913 * ((cos(x9) * (cos(x12) + x6)) + cos(sin(x17) + max(x1, x13)))"
18,8463.861,"((cos(x12) * (x6 + cos(x9))) + cos(max(x3, x13) + min(0.89136964, x17))) * 256.1302"
19,7989.9785,"((cos(x9) * (cos(x12) + x6)) + cos(max(x1, x13) + min(x17, cos(x1)))) * 259.20972"
21,7701.727,"(cos(x12) + ((cos(x7 + x9) * x10) + cos(min(cos(x1), x17) + max(x1, x13)))) * 261.35913"
23,7563.5894,"(cos(min(min(cos(x1), x17), max(0.59817517, x12)) + max(x13, x1)) + (cos(x9) * (cos(x7) + x6))) * 257.54"
25,7536.661,"((cos(min(cos(x1), min(x17, max(0.620991, x12))) + max(x13, x1)) + (cos(x9) * (cos(x7) + x6))) * 271.3655) + -16.70838"
