Complexity,Loss,Equation
1,5427.318,"147.90813"
3,3832.674,"x7 * 201.75586"
4,3700.0522,"exp(x7 + 4.259897)"
5,3210.424,"max(x12, x7) * 193.37848"
6,2983.7375,"exp(x7 - (x6 - 4.6041355))"
7,2963.9543,"max(x17 - x12, x12) * 204.03954"
8,2721.0947,"exp(max(x12, x7) - (x6 - 4.565918))"
9,2491.8235,"exp(abs(x12 - x8) - (x6 - 5.039466))"
10,2430.7708,"exp(abs(sin(x8) - x12) - (x6 - 5.03357))"
11,2376.4832,"exp(abs(x8 - (x12 * 1.1749337)) - (x6 - 4.908309))"
12,2172.8706,"exp(max((x12 * 1.7010283) - x8, x7) - (x6 - 4.426326))"
13,2171.1875,"exp(max((x12 * 1.6730654) - sin(x8), x7) - (x6 - 4.4379945))"
14,2071.0945,"exp(max(max(x7, (x12 * 1.7276468) - x8), x1) - (x6 - 4.3922367))"
15,2061.5166,"exp(max((x12 * 1.7074558) - x8, max(x1, square(x7))) - (x6 - 4.4185553))"
16,2056.2625,"exp(max(max(x1, x7), max((x12 * 1.7117403) - x8, x12)) - (x6 - 4.4093413))"
17,2046.6584,"exp(max(max((x12 * 1.7117403) - x8, x1), max(x12, square(x7))) - (x6 - 4.4093413))"
18,2014.4403,"exp(max(x3, max(x7 * (1.643072 - x12), x12 * 1.7048782) - x8) - (x6 - 4.4264674))"
19,2012.4528,"exp(max(x3, max(sqrt(x7 * 2.6996856) - x12, x12 * 1.7048782) - x8) - (x6 - 4.4264674))"
20,1992.3616,"exp(max(max(x12, x1), max(x12 * 1.7048782, x7 * (1.643072 - x12)) - x8) - (x6 - 4.4264674))"
21,1973.5826,"square((x7 / x1) + (exp(cos(x6) + max(x13, sin(x7))) + exp(cos(x8) + max(x12, x3))))"
22,1934.699,"square(((exp(cos(x8) + max(x12, x3)) - x6) + exp(max(x13, x7) + cos(x6))) + (x7 / x1))"
23,1917.8372,"square((exp(max(sin(x7), x13) + cos(x6)) + exp(max(x12, x3) + cos(x8))) + ((x7 / x3) - x11))"
24,1896.9626,"square(exp(max(x1, max(x7, x13)) + cos(x6)) + (exp(max(x12, x3) + cos(x8)) + ((x7 / x1) - x6)))"
25,1875.3787,"square(exp(max(x13, cos(max(x6, x13))) + cos(x6)) + ((exp(max(x3, x12) + cos(x8)) - x6) + (x7 / x1)))"
