Complexity,Loss,Equation
1,32866.227,"252.19124"
3,25225.725,"141.46349 / x7"
4,22447.94,"exp(6.2585716 - x7)"
5,18275.438,"177.132 / max(x7, x12)"
6,15555.117,"exp((6.942468 - x7) - x9)"
7,15242.877,"exp(x6 - square(x12)) * 253.25603"
8,13736.623,"exp(x6 - (x9 * x7)) * 266.01053"
9,12330.712,"(cos(x15) - (x7 - cos(x16))) * 343.66986"
11,12214.806,"(cos(square(x13)) * (cos(x7) * 591.02875)) * cos(x12)"
12,11302.337,"cos(x7) * ((cos(x9) * (x6 + cos(x15))) * 400.57346)"
13,10988.001,"((cos(x16) * cos(x7)) * 318.47855) * (exp(cos(x12)) - x17)"
14,10884.896,"(cos(x12 * x13) * 351.63507) * ((cos(x9) + x6) * cos(x7))"
15,10573.324,"max(cos(x17) * cos(x13), x6) * ((exp(cos(x12)) - x4) * 291.83743)"
16,10238.43,"cos(x16) * (((cos(x13) + cos(x17)) * cos(x12)) * (cos(x7) * 414.7538))"
18,9869.228,"cos(x7 * x15) * ((cos(x16) * (cos(x12) * (sqrt(x6) + cos(x17)))) * 397.7303)"
19,9793.992,"(sin(sqrt(x6)) + cos(x17)) * (cos(x12) * ((cos(x15 * x7) * 417.8314) * cos(x16)))"
20,9417.312,"(cos(x16 * cos(log(x17))) * (sqrt(x6 + cos(x13)) * 521.80365)) * (cos(x12) * cos(x7))"
21,9237.263,"((cos(x16 * cos(log(x17))) * 561.8499) * cos(x7)) * (cos(x12) * sqrt(x6 + square(cos(x13))))"
22,8997.805,"cos(x16 * cos(log(x17))) * ((sqrt(x6 + cos(x15)) * (cos(x12) * 545.1601)) * cos(max(x7, x1)))"
23,8821.747,"(((cos(cos(log(x17)) * x16) * sqrt(x6 + square(cos(x15)))) * 581.4262) * cos(max(x3, x7))) * cos(x12)"
24,8814.818,"cos(x12) * ((((cos(max(x7, x1)) * cos(x16 * cos(log(x17)))) * sqrt(x6 + cos(x15))) * 581.4262) + -27.168785)"
25,8667.237,"cos(x12) * ((cos(max(x7, x1)) * ((sqrt(x6 + cos(square(x15))) * cos(x16 * cos(log(x17)))) * 618.9791)) + -61.026966)"
