Complexity,Loss,Equation
1,7802.5527,"-77.61282"
3,5644.7935,"x6 * -186.24332"
4,5499.8516,"log(x7) / 0.0064486866"
5,4741.394,"(x0 * -128.66061) / x7"
6,4060.7583,"(exp(x6) - x4) * -99.65145"
7,3855.9324,"(-0.825189 - (x6 - x4)) / 0.006277639"
8,3442.6611,"((x4 - cos(x12)) - x6) / 0.0063352147"
9,3090.6858,"((x7 - 1.6603024) - (x6 - x9)) / 0.00789756"
11,2983.6333,"((min(x17, x7) - 1.5886285) - (x6 - x9)) / 0.007705928"
12,2757.2195,"((-0.9203002 - x6) - (cos(x9 + x12) - x17)) / 0.009417736"
14,2667.209,"((-1.8128146 - (x6 - x4)) - (cos(x12 + x13) - x17)) / 0.011215318"
15,2620.7478,"((-1.7903403 - (sin(cos(x9 + x13)) - x12)) - (x6 - x17)) / 0.0108033735"
16,2492.2742,"((-1.8227383 - (x6 - x12)) - (min(x13, cos(x13 + x9)) - x17)) / 0.010520298"
17,2443.937,"((-1.805277 - (x6 - x12)) - (min(sqrt(x13), cos(x9 + x13)) - x17)) / 0.010627461"
18,2350.2395,"((-1.121935 - (x6 - x12)) - ((min(x13, x1) - x17) + cos(x9 + x13))) / 0.009889847"
20,2328.3403,"((-1.1192526 - ((min(x1, x13) + cos(max(x9 + x13, x19))) - x17)) - (x6 - x12)) / 0.010027586"
21,2272.9695,"((-1.121935 - (min(x1, sqrt(x12)) + (cos(x9 + max(x13, x3)) - x17))) - (x6 - x12)) / 0.009889847"
22,2270.4106,"((-1.1192526 - (x6 - x12)) - ((min(x1, sin(sqrt(x12))) - x17) + cos(x9 + max(x13, x3)))) / 0.010027586"
23,2230.1045,"((-1.117148 - ((cos(x9 + max(x13, x3)) - min(0.887674, x17)) + min(x1, sqrt(x12)))) - (x6 - x12)) / 0.010032564"
24,2217.551,"((-1.1192526 - (x6 - x12)) - (cos(x9 + max(x13, x3)) + (min(x1, sin(sqrt(x12))) - min(0.89340174, x17)))) / 0.010027586"
