Complexity,Loss,Equation
1,3745.578,"-20.722166"
3,3364.3171,"x12 * -38.92515"
4,3196.0896,"square(x12) / -0.020206824"
5,2886.6902,"(x12 - x6) * -71.959465"
6,2752.385,"(x12 - square(x10)) * -75.329895"
7,2744.6267,"((x15 * x12) - x5) / -0.017684389"
8,2735.5195,"min(x12 - square(x10), x4) * -76.7478"
9,2635.2363,"((x12 - (x10 - x4)) - x6) * -48.255848"
10,2620.862,"((x12 - x10) - (sin(x6) - x4)) * -49.223083"
11,2597.6707,"((x12 - (x11 - x4)) - max(x10, x18)) * -49.22998"
12,2540.9597,"(((x13 * x16) - x10) + min(square(x12), x17)) / -0.018660964"
13,2521.0813,"((min(square(x12), x17) + (x13 * sin(x16))) - x10) / -0.016925171"
14,2492.9858,"(((square(sin(square(x13) / x17)) - x14) - x10) + x12) / -0.018359449"
15,2452.045,"(x12 + ((square(square(sin(square(x13) / x17))) - x14) - x10)) / -0.015615646"
16,2414.0376,"((min(x17, square((x12 - 0.21182403) / x17) - 0.30036402) - x10) + x4) / -0.014084919"
17,2379.443,"(((x4 - x14) + min(square((x12 - 0.36965692) / square(x17)), x17)) - x10) / -0.013933682"
18,2351.5647,"(min(square(square(square((x12 - 0.09709311) / x17))), x17) + ((x4 - x14) - x10)) / -0.014407054"
19,2343.1548,"(min(x17, square(square(square(square((x12 - 0.059138224) / x17))))) + ((x4 - x10) - x14)) * -71.959465"
20,2319.2366,"(((x4 - x14) - x10) + min(square(min(square(square(x12 / x17) - 0.19665316), x15)), x17)) / -0.013441807"
21,2307.1204,"(x4 + ((min(square(min(square(square(square(x12 / x17)) - 0.19665316), x15)), x17) - x10) - x14)) / -0.013441737"
22,2307.12,"(x4 + ((min(x17, square(min(square(square(square(x12 / x17)) - 0.19665316), x15))) - x10) - abs(x14))) / -0.013441807"
23,2297.965,"((x4 + (min(square(min(square(square(square(x12 / x17)) - 0.19665316), x15)), x17) - min(x14, x6))) - x10) / -0.013441737"
24,2281.7483,"(((x4 - x14) - x10) + min(x17, square(square(square((((0.3161651 - x12) / x17) / x17) - 0.21571869))) - x14)) / -0.01498761"
25,2281.524,"(((x4 - x14) - x10) + min(x17, square(square(square((((sin(0.31956616) - x12) / x17) / x17) - 0.21571869))) - x14)) / -0.01498761"
